Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),Oscar Winners,Oscar Detail
300,2007,adaptation,60,51,56,89,71,18,80,-25,action,"period, action",70885301,70.89,210614939,210.61,245.45,245453242,456068181,456,53.82%,65,701.64%,109.05%,,,,"Mar 9, 2007",,
3:10 to Yuma,2007,remake,88,76,82,86,73,13,80,3,western,western,14035033,14.04,53606916,53.61,16.17,16173815,69780731,70,23.18%,50,139.56%,28.07%,,,,"Sep 7, 2007",,
30 Days of Night,2007,adaptation,50,53,52,56,65,-9,61,-9,horror,horror,15951902,15.95,39568996,39.57,35.53,35526091,75095087,75,47.31%,32,234.67%,49.85%,,,,"Oct 19, 2007",,
Across the Universe,2007,original screenplay,54,56,55,82,73,9,78,-23,musical,musical,3824988,3.82,24343673,24.34,5.02,5023470,29367143,29,17.11%,45,65.26%,8.50%,,,,"Oct 12, 2007",,
Alien vs. Predator - Requiem,2007,sequel,14,29,22,31,45,-14,38,-17,sci-fi,"sci-fi, horror",10059425,10.06,41797066,41.80,87.09,87086650,128883716,129,67.57%,40,322.21%,25.15%,,,,"Dec 25, 2007",,
Alvin and the Chipmunks,2007,adaptation,26,39,33,65,55,10,60,-28,comedy,"family, comedy",44307417,44.31,217326974,217.33,143.14,143138914,360465888,360,39.71%,70,514.95%,63.30%,,,,"Dec 14, 2007",,
American Gangster,2007,based on a true story,80,76,78,87,75,12,81,-3,crime,"crime, drama",43565135,43.57,130164645,130.16,137.74,137737769,267902414,268,51.41%,100,267.90%,43.57%,,,,"Nov 2, 2007",,
Bee Movie,2007,original screenplay,52,54,53,53,64,-11,59,-6,animation,animation,38021044,38.02,126631277,126.63,160.49,160492289,287123566,287,55.90%,150,191.42%,25.35%,,,,"Nov 2, 2007",,
Beowulf,2007,original screenplay,71,59,65,50,63,-13,57,9,animation,animation,27515871,27.52,82195215,82.20,114.07,114068876,196264091,196,58.12%,150,130.84%,18.34%,,,,"November 16, 2007",,
Blades of Glory,2007,original screenplay,69,64,67,68,70,-2,69,-3,comedy,"sports, comedy",33014202,33.01,118594548,118.59,27.11,27114094,145708642,146,18.61%,61,238.87%,54.12%,,,,"March 30, 2007",,
Charlie Wilson's War,2007,based on a true story,82,69,76,73,69,4,71,5,drama,"war, drama",9656250,9.66,66661095,66.66,51.81,51814126,118475221,118,43.73%,75,157.97%,12.88%,,,,"December 21, 2007",,
Daddy Day Camp,2007,sequel,1,13,7,38,19,19,29,-22,comedy,"family, comedy",3402678,3.40,13235267,13.24,4.96,4962131,18197398,18,27.27%,6,303.29%,56.71%,,,,"Aug 8, 2007",,
Disturbia,2007,adaptation,67,62,65,77,81,-4,79,-15,drama,"drama, thriller",22224982,22.22,80209692,80.21,37.55,37550442,117760134,118,31.89%,20,588.80%,111.12%,,,,"Apr 13, 2007",,
Dragon Wars (aka D-War),2007,original screenplay,27,33,30,19,29,-10,24,6,fantasy,"action, fantasy",5041239,5.04,10977721,10.98,63.27,63274132,74251853,74,85.22%,75,99.00%,6.72%,,,,"Sep 14, 2007",,
Enchanted,2007,original screenplay,93,75,84,80,83,-3,82,3,adventure,"family, adventure",34440317,34.44,127807262,127.81,212.68,212680390,340487652,340,62.46%,85,400.57%,40.52%,,,,"Nov 21, 2007",,
Epic Movie,2007,original screenplay,2,17,10,29,21,8,25,-16,comedy,comedy,18612544,18.61,39739367,39.74,47.13,47126197,86865564,87,54.25%,20,434.33%,93.06%,,,,"January 26, 2007",,
Evan Almighty,2007,sequel,23,37,30,52,47,5,50,-20,comedy,"fantasy, comedy",31192615,31.19,100462298,100.46,72.93,72929590,173391888,173,42.06%,175,99.08%,17.82%,,,,"Jun 22, 2007",,
Fantastic Four: Rise of the Silver Surfer,2007,sequel,35,45,40,51,64,-13,58,-18,action,"action, adventure",58051684,58.05,131921738,131.92,157.13,157126025,289047763,289,54.36%,130,222.34%,44.66%,,,,"Jun 15, 2007",,
Ghost Rider,2007,adaptation,28,35,32,48,38,10,43,-12,action,"action, horror",45388836,45.39,115802596,115.80,112.94,112935797,228738393,229,49.37%,110,207.94%,41.26%,,,,"Feb 16, 2007",,
Good Luck Chuck,2007,original screenplay,3,19,11,57,41,16,49,-38,,romantic comedy,13652001,13.65,35017297,35.02,24.17,24174831,59192128,59,40.84%,25,236.77%,54.61%,,,,"Sep 21, 2007",,
Grindhouse,2007,original screenplay,82,77,80,87,80,7,84,-4,,horror,11596613,11.60,25037897,25.04,0.38,384191,25422088,25,1.51%,53,47.97%,21.88%,,,,"Apr 6, 2007",,
Hairspray,2007,adaptation,92,81,87,85,75,10,80,7,,musical,27476745,27.48,118871849,118.87,83.68,83676726,202548575,203,41.31%,75,270.06%,36.64%,,,,"Jul 20, 2007",,
Halloween,2007,remake,26,47,37,59,57,2,58,-22,,horror,26362367,26.36,58272029,58.27,20.20,20197855,78469884,78,25.74%,20,392.35%,131.81%,,,,"Aug 31, 2007",,
Happily N'Ever After,2007,adaptation,4,28,16,34,35,-1,35,-19,,animation,6608244,6.61,15589393,15.59,22.50,22495398,38084791,38,59.07%,47,81.03%,14.06%,,,,"Jan 5, 2007",,
Hitman,2007,adaptation,15,35,25,57,65,-8,61,-36,,action,13180769,13.18,39687694,39.69,60.28,60276289,99963983,100,60.30%,24,416.52%,54.92%,,,,"Nov 21, 2007",,
Hostel Part II,2007,sequel,45,46,46,39,50,-11,45,1,,horror,8203391,8.20,17609452,17.61,18.01,18010069,35619521,36,50.56%,10,356.20%,82.03%,,,,"Jun 8, 2007",,
I Am Legend,2007,adaptation,69,65,67,68,71,-3,70,-3,,"sci-fi, horror",77211321,77.21,256393010,256.39,327.76,327762415,584155425,584,56.11%,150,389.44%,51.47%,,,,"Dec 14, 2007",,
I Now Pronounce You Chuck and Larry,2007,original screenplay,13,37,25,69,53,16,61,-36,,comedy,34233750,34.23,120059556,120.06,65.99,65994618,186054174,186,35.47%,85,218.89%,40.28%,,,,"Jul 20, 2007",,
In the Land of Women,2007,original screenplay,43,47,45,52,53,-1,53,-8,,drama,4712341,4.71,11052958,11.05,6.51,6509113,17562071,18,37.06%,10,175.62%,47.12%,,,,"Apr 20, 2007",,
Into the Wild,2007,adaptation,82,73,78,89,82,7,86,-8,,adventure,212440,0.21,18354356,18.35,37.28,37280210,55634566,56,67.01%,15,370.90%,1.42%,,,,"Oct 19, 2007",,
